TEXT,LABEL
"In contrast, in vitro synthesis of DON-GlcA by rat liver microsomes seemingly resulted only in formation of DON-3-GlcA (Wu et al., 2007).","In vitro research, Laboratory research"
"However, due to the lack of younger participants at baseline in the Korean Genome and Epidemiology Study (KoGES) database, we were unable to assess the genotype association with DM incidence modified by food/nutrient intake in younger populations (<40 years).",Cohort study
All animal experiments were in line with the Guiding Principles of the Animal Management and Use Committee of Fuzhou General Hospital (IACUC approval no.,"Animal research, In vivo studies"
"is able to induce adiponectin expression in animal models (41, 42).","Animal research, In vivo studies"
"Therefore, rapid transient changes are not resolved by our study design.",Cohort study
"After producing the pooled estimate for each outcome, we used Grading of Recommendations Assessment, Development and Evaluation (GRADE) protocols [19] to calculate absolute risk reductions from prospective observational study data, and evaluate the certainty of the body of evidence for each outcome.",Systematic analysis
"While dietary intervention with OFS during pregnancy and lactation has previously been shown to alter maternal gut microbiota substantially (21, 49), intervening before pregnancy with OFS or sitagliptin did not have any lasting effects that could be detected at birth beyond increased C.",Cohort study
"The purpose of this study was to determine whether or not MA, a high risk population for T2D and the MetS, exhibit the same degree of cardiometabolic plasticity as that of NHW (a lower risk population) in response to a short-term diet-exercise intervention.",Randomised controlled trial
"Dosages for HOCO-DHA and barley Î²-glucan were determined on the basis of previous clinical studies done by our research group [20, 21, 32].",Non-randomised controlled trial
"Here we pooled 1,127 population-based studies that measured blood lipids in 102.6 million individuals aged 18 years and older to estimate trends from 1980 to 2018 in mean total, non-HDL and HDL cholesterol levels for 200 countries.",Meta-analysis
The insulin sensitivity index SI was higher in the control group than in the WR group.,Cohort study
"The intervention group reported less constipation than the control group, with 4% of the intervention group reporting constipation in the last week of Ramadan compared with 8% of the control group, however, the difference is not significant.",Non-randomised controlled trial
"Approval for the experimental protocols was obtained from the Local Animal Ethics Committee of Zagazig University, Egypt (Approval No.","Animal research, In vivo studies"
"In the observational study, no overall associations were found between AMY1 CNV and fasting glucose, BMI, or gut microbiota composition.",Cohort study
"With regard to sex hormones (Table 4), significant changes in TT, LH, and LH/FSH were observed before and after the dietary intervention in both groups (P < 0.05 or P < 0.001), whereas FSH and PRL were basically unchanged compared with baseline values (P > 0.05).",Non-randomised controlled trial
Four weeks of supplementation with AbMIP led to a significant difference in fasting endothelial function (endothelium dependent vasodilation) and significantly lowered homocysteine levels in comparison to placebo supplementation.,Randomised controlled trial
Each patient gave written informed consent before study participation.,Randomised controlled trial
"In both twin cohorts, at each follow-up visit, length/height and weight were measured, and fecal samples were collected along with data on age in months and diarrhea in the 7 days prior to or at the visit for Malawi and Bangladesh, respectively.",Cohort study
"By contrast, in an updated meta-analysis of 86 published studies of the association of the polymorphism with CHD, the excess CHD risk in TT homozygotes compared to CC homozygotes was 15%.",Meta-analysis
Sample size was determined 22 subjects in each intervention and control group.,Randomised controlled trial
"Indeed, a number of the metabolite changes elicited by the CAG expansion mutation in knock-in mice are amenable to follow up study in HD patients and may serve as readily detectible markers of various aspects of the early pathogenic process.","Animal research, In vivo studies"
"Considering the TBARS and tocols scores, the RR and RG showed lower and higher values for in vivo oxidative markers and the contrary in meat.","In vitro research, Laboratory research"
"There was also a significant biological sex effect (F (1,157)â?â?0.98, pâ?â?.001), as well as a significant intervention group by biological sex interaction effect (F (2,157)â?â?.44, pâ?â?.013).",Randomised controlled trial
"Hence, the specific volume of gavage was calculated as 31 times the volume of each rat's last measured body weight (for example, if the last measured weight of a rat is 0.2 kg, its gavage volume is 6.2 mL per day).","Animal research, In vivo studies"
Ongoing clinical trials are pursuing ACLY inhibition for treatment of metabolic diseases8.,Randomised controlled trial
"There were no changes in intestinal permeability, endotoxin concentrations (lipopolysaccharide binding protein), or in vivo substrate oxidation following inulin supplementation in the present study despite a significant bifidogenic effect.","In vitro research, Laboratory research"
"The lack of a relationship between BMD and skeletal nutrient intake or 25(OH)D status may be attributable to the wide variability of injury characteristics in our cohort, or other factors known to influence low BMD including: injury duration greater than 10 years, motor complete injury, female gender, BMI less than 19, medications that increase vitamin D metabolism and excessive cigarette smoking or alcohol intake (Hummel et al., 2012).",Cohort study
A recent longitudinal study in Brazil reported the protective effect of following a DP characterized by healthy food selection [58] in incident hypertension.,Cohort study
Table 5 declared insignificant change in LDH and SDH enzyme activities in mice treated with MEL & MEF as compared to untreated normal control mice.,"Animal research, In vivo studies"
"Although collecting questionnaires and fecal samples by mail is a technique that has been around for several decades, the postal questionnaires used in this study were designed with best practice recommendations in mind, ensuring financial incentives for fecal samples, a concise, personal questionnaire, providing stamped return envelopes, and following-up with participants post-contact [54].",Cohort study
"With respect to the animal study, the protocol for the animal experiment was approved by the internal OPBA (Organo Preposto al Benessere Animale â?Animal Welfare Group at ISS) and subsequently by the Italian Ministry of Health.","Animal research, In vivo studies"
"Thus, their detection in stool samples after 8 weeks of intervention does not necessarily confirm rigorous compliance.",Randomised controlled trial
In our study 20-40% of the subjects in each intervention group and at each time point reported intestinal disturbances.,Randomised controlled trial
"The study was obtained from the China Adult Chronic Disease and Nutrition Surveillance (2015), which is a national representative cross-sectional survey.",Cross-sectional study
"Highly controlled intervention studies in populations with increased risk of CVD have achieved absolute changes in %SFA intakes of around 4%â?%,7 8 while a low-intensity primary care-based intervention showed a short-term change in LDL cholesterol of 0.32âmmol/L.13 We judged a 3% difference in SFA reduction to be realistic goal to provide clear evidence of a clinically meaningful intervention.",Randomised controlled trial
"Blood samples were taken on admission for hematology and chemistry or collected before PCI/CAG, which obeyed standard clinical practice guidelines (18â?0).",Cohort study
"A cross-sectional correlation study showed that the higher the height is, the higher the risk of subsequent obesity [30].",Cross-sectional study
"Indeed, compared to non-deafferented hamsters treated with portal injections of GLP-1(7-36), both deafferented hamster groups had significantly higher plasma TG at 4- and 6 h post-gavage, and in the plasma TG AUC (P â?0.05; Figure 4H,I).","Animal research, In vivo studies"
"This study also has some strengths such as its prospective design, which reduces the possibility of reverse causation bias, the control for several potential confounding factors, the large sample size, and the extensive data collected by trained staff.",Cohort study
"Using UniFrac distance based PCoA biplots, we demonstrate substantial segregation of the subjects into three groups based on the presence/absence (Unweighted UniFrac, Figure 2B) and abundance of specific bacterial taxa (Weighted UniFrac, Figure 2C).We thus suggest that the presence of discrete clusters of samples in PCoA biplot is an indication of unique bacterial community structure in the three study groups.",Cross-sectional study
"The almond group also increased intakes of potassium, magnesium, vitamin E, and riboflavin, and lowered intake of sodium relative to the control group.",Non-randomised controlled trial
"Study design, glucose metabolism outcomes, and the presence of metabolic disease and risk factors varied.",Cohort study
A cross-sectional study with 846 adults was performed in a single-center.,Cross-sectional study
"However, NHANES III was a serial cross-sectional survey, and the different age ranges were not derived from a cohort.",Cross-sectional study
"To explore whether alterations in the TRL size distribution found in the early postprandial state of MetS mice could reflect a defect of the lipid-mediated response of the TRL intestinal metabolism, mRNA levels of key genes involved in their synthesis were assayed at 1 h but also 6 h after oil gavage when hypertriglyceridemia was normalized (Fig 2).","Animal research, In vivo studies"
"Data are presented including both sexes, as well as stratified by sex.",Cross-sectional study
The inclusion criteria in the WR group was >5% from the baseline weight and Â±2 kg maximum in the control group.,Randomised controlled trial
"The clinical intervention of the study was initiated in January 2015, and recruitment and randomization of participants, along with the study dietary interventions, are ongoing.",Randomised controlled trial
"The funder had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",Randomised controlled trial
A further 40 male and 40 female participants not commencing GAHT (comparator groups) will be recruited via online and print advertisements circulated to staff and the general community by the two sites.,Randomised controlled trial
This is a retrospective observational cross-sectional study using nationally representative data on health and nutrition characteristics from the 2016 National Health and Nutrition Survey of Japan.,Cross-sectional study
"The observed changes in the IL-6/IL-10 ratio were similar to those of the TNF-Î±/IL-10 ratio, so this ratio was also increased by induction of diabetes compared to the sham-control group (p < 0.05, Fig.",Cohort study
Three cohorts of mice followed this protocol: Cohort I (180 mice) generated 12 mice for each age and nutritional treatment that were sacrificed for plasma and inguinal fat for microarray and qRT-PCR analysis of gene expression; Cohort II (135 mice) establish adipose phenotypes for each nutritional group from 5 days until 112 days of age.,Cohort study
"Concerning lactose, although this metabolite is also present in certain drugs as an excipient (51), urinary lactose and galactose were associated with dairy product consumption in the Karmen cohort (52), indicating that the confounding effects of lactose in drugs is limited.",Cohort study
"From 1292 studies identified in the initial search results, 12 randomized studies were included in the final analysis, which showed that a low-carbohydrate diet was associated with a decrease in triglyceride levels of -0.15mmol/l (95% confidence interval -0.23 to -0.07).",Randomised controlled trial
A cross-sectional study 6 months following normotensive (n = 75) and preeclamptic (n = 22) pregnancies was performed.,Cross-sectional study
"Thus the lack of independent association of C4 and the lack of any statistically significant association of the BAs with MetS and T2DM does not contradict the pathogenic links between BA metabolism and MetS or T2DM, for which many lines of evidence have been produced by animal experiments and intervention studies in humans [62], [63].","Animal research, In vivo studies"
We did not observe any differences between the randomized groups for the primary outcomes.,Randomised controlled trial
One hundred ten patients with grade 1 hypertension (treated or untreated) will be randomized to either the probiotic VivomixxÂ® or placebo.,Randomised controlled trial
"Hamsters were then recovered and left fasted for VLDL experiments or briefly restrained for an oral gavage of olive oil (SigmaâAldrich, Mississauga, ON; 200 Î¼l) for postprandial experiments.","Animal research, In vivo studies"
"Interestingly, the Dâ?âC groups showed less defined clustering, with samples scattered intermediately between clusters representing the D and C cohorts, most evident for Dâ?âC-Sham and Dâ?âC-VSG, which overlapped with the C-VSG group.",Cohort study
"In the present study, we used a high-fat diet-fed SD rat model to investigate the effect of FCE50 on obesity.","Animal research, In vivo studies"
"This relationship has been investigated in in vitro studies comparing the effect of various sources of sulfur on the bacterial synthesis, the utilization of NH3-N, and nutrient digestion over a 96-h incubation period [37].","In vitro research, Laboratory research"
Comparison among the experimental group was conducted with least square means and adjusted with Tukeyâs test.,Randomised controlled trial
"As shown in Table 2, LDL-C, TG and TC concentrations were significantly higher and serum HDL-C was significantly lower in metabolic syndrome group compared to control group (P < 0.05).",Case-control study
"This team first conducted a pilot study using nisin in laboratory rats, and the results showed a significant decrease in the adipose content in the abdominal area (unpublished results).","Animal research, In vivo studies"
The animal study protocol was approved by the Institutional Review Board (or Ethics Committee) of Binzhou Medical University (2021-083).,"Animal research, In vivo studies"
"This research paper was derived from a cross-sectional survey of a project funded by Blinded for peer review, 2016â?019 entitled âBone mass among Overweight and Obese Women: Mechanism and Intervention.â?(Blinded for peer review), with an approval obtained from Ethics Committee of Blinded for peer review (Registration Number is 16/127).",Cross-sectional study
"Furthermore, this trial was registered in Iranian Registry of Clinical Trials with ID number of IRCT2013062313751N1.",Randomised controlled trial
"In view of the large interindividual variation in C4 and BA levels, our clinical study also suffers from a relatively small study size (Nâ?â?50), although to the best of our knowledge, it is as yet the largest study investigating the associations of CAD, T2DM and MetS with BAs and C4.",Cohort study
"Clinical and mechanistic studies have demonstrated that lipid metabolism plays an important role in leukocyte activity, which may have significant gender-specific implications for CVD, metabolic dysfunction, and immune disorders [17,19,26,29,38,40,55].",Cohort study
Our finding that hippurate exerts beneficial metabolic effects in the context of high-fat diet was replicated in a mouse model of HFD-induced obesity.,"Animal research, In vivo studies"
Study heterogeneity was statistically assessed by Q statistics (9).,Meta-analysis
"The present pilot study suggested that mainly DHSA, deriving from dairy products, is present in human plasma of healthy normal weight subjects, thus being potentially bioaccessible, and its plasmatic concentration is positively associated with the consumption of CPFAs-rich foods within the diet.",Case series
Figure 1 describes study recruitment and inclusion/exclusion criteria.,Cohort study
"Treatment was randomly allocated by the lead researcher using minimization software (MinimPy 0.3; Mahmoud Saghaei; http://minimpy.sourceforge.net), with age, sex, ethnicity, cardiometabolic score, and willingness to undergo MRI/magnetic resonance spectroscopy (MRS) scanning as minimization variables.",Randomised controlled trial
The subjects were assigned to the placebo (n = 30) or PLP (n = 30) group.,Randomised controlled trial
"The associations between the SCWT and alterations in tryptophan metabolism were replicated in the Imageomics cohort (n=970), where plasma levels of tryptophan and some microbial-derived tryptophan catabolites (indolepropionamide) were positively associated with the SCWT performance (figure 3F, G).",Cohort study
"Furthermore, participants had a mean stool consistency between 3 and 4 in both study groups, which is generally considered to be the ânormalâ?stool form.",Cohort study
"Hoping to minimize the effects of those confounders, a further study with an expanded sample size and a control group has been designed and is currently in progress.",Non-randomised controlled trial
"However, due to a distinct placebo effect, statistical significance was not achieved (pâ?â?.586).",Randomised controlled trial
"Nevertheless, it should be taken into account that overall, fiber intake was below the recommendation, as vegetable and fruit consumption in Uruguay is far below the amount recommended in the current guidelines [7].","Narrative review, Expert opinion, Editorial, Ideas"
"Interestingly in a recent early-life high-fat diet mouse model found that the diet decreased the relative abundances of Bifidobacterium and Akkermansia, and increased the level of Dorea.42 In addition, none of the risk factors modified the effects between the relative abundances of the seven genera and the presence of overweight/obesity.","Animal research, In vivo studies"
"No significant differences in fasting TC, LDL-C, HDL-C or TG were seen after seven days of placebo or investigational product (Table 4).",Randomised controlled trial
"The cohort included 24 subjects, 12 participants with obesity (BMI â?0 kg/m2) and 12 without obesity (BMI <30 kg/m2).",Cohort study
"The lack of significant differences between the ARCHGUT and BABYGUT cohorts, save for stock/bond ownership, justifies combining these two foundational cohorts to form the overall ARCHBG cohort (Table 3).",Cohort study
"Binary Bray-Curtis dissimilarity and alpha diversity measures (Shannon index, number of observed genera, and Pielouâs evenness index) were calculated for each individual in each cohort at the ages of 9 and 18 months using the R package vegan.",Cohort study
The aim of this study was to determine the effect of a low-carbohydrate diet on cardiovascular risk factors using randomized controlled studies.,Randomised controlled trial
"Finally in Caco-2 cells in vitro, insulin opposes CD36 dependent-induction of MTP mRNA by LCFA.","In vitro research, Laboratory research"
Further studies such as intervention trials are needed to confirm the mechanism of correlation between UPF consumption and health-related outcomes.,Randomised controlled trial
"The experimental procedure was in line with the EU legal framework related to the welfare and protection of animals used for scientific purposes (Directive 2010/63/EU) and the guidelines of legislation in the UK that governs the ethical treatment of animals (Animal Scientific Procedures Act, 1986, UK).","Animal research, In vivo studies"
results from an independent sample t-test analysis showed that plasma homocysteine concentrations were significantly higher in CAD patients compared to the control group individuals (13.91 Â± 4.55 Î¼mol/L vs 10.97 Â± 3.45 Î¼mol/L; p0.05).,Cross-sectional study
K-means cluster analysis was used to group 3001 adults from the KORA F4 cohort into three clusters.,Cohort study
"Our clinical study demonstrated that a high level of plasma TMAO was associated with poor disease severity and prognosis in PAH, which indicated its promising role as a biomarker in this field.",Cohort study
Human studies on the interaction between BCAA and peroxisome function are poorly represented in the literature and absent on the topics of peroxisomal and lipid status in MSUD.,"Narrative review, Expert opinion, Editorial, Ideas"
Three independent experiments were analyzed (n = 3) for each measurement with each n composed of tissues from 5 insects.,"In vitro research, Laboratory research"
"By recruiting 48 participants in each active intervention arms, we will be able to detect a further difference between these two arms of 2% (3% SD) with 90% power.",Randomised controlled trial
These organisations have taken into account the decades of both positive and negative human and animal studies to draw their conclusions.,"Animal research, In vivo studies"
"Although miRNAs have been investigated in T2DM and impaired glucose tolerance status, to the best of our knowledge, this is the first time that changes in miRNAs levels have been investigated in patients with IGR considering two time points: before (baseline) and 6 months after a telephone-based lifestyle intervention involving diet and exercise.",Non-randomised controlled trial
There were no significant differences in the remaining phyla between the obesity group and the control group.,Cohort study
Animal models provide mechanistic insights into the role of berries in lipid and lipoprotein metabolism.,"Animal research, In vivo studies"
The experimental group received the higenamine capsules (25 mg) three times per day for 21 days following the instruction given by the manufacturer.,Randomised controlled trial
"As we showed in the comparison of components of Med-DQI according to +405C/G of VEGF gene polymorphism between study groups, the score of âsaturated fatty acidâ?subgroup in metabolic syndrome patients with CC genotype was higher compared with patients in other genotypes; Moreover, the score of âvegetable and fruitâ?subgroup in healthy control group with CC and GG genotypes was higher than GC genotype of VEGF gene (Table 7).",Cohort study
"In a meta-analysis of intervention studies in patients with PCOS using an unrestricted energy LC diet model, LC significantly reduced BMI, androgen and IR levels and improved lipid metabolism in eight relevant RCTs compared with standard dietary regimens (31).",Meta-analysis
Altogether 75 overweight or obese (BMI 28â?0 kg/m2) subjects aged 40 to 70 years were recruited to the GENOBIN study [28].,Cohort study
"In this pilot study, we report for the first time the presence of distinct cord blood lipidome patterns in SGA, LGA, and AGA newborns.",Case series
"A Ketogenic Low-Carbohydrate High-Fat Diet Increases LDL Cholesterol in Healthy, Young, Normal-Weight Women: A Randomized Controlled Feeding Trial",Randomised controlled trial
"This observation may also reflect the state of malnutrition in these cohorts of children, as the microbiota turns to host-associated proteins for energy.",Cohort study
"Many epidemiological studies have shown that soluble fibre was the main contributor to the cholesterol-lowering property of whole grains [43,44].",Cohort study
A targeted in vivo experimental study is performed on rodents at juvenile life stage (from weaning to sexual maturity).,"In vitro research, Laboratory research"
"In the Bangladesh cohort, eight children had a follow-up visit that met incident case criteria, and ten had a follow-up visit that met control criteria.",Cohort study
"Exercise intervention was designed as individualized rope skipping exercise, 90 min a time (20 min RS plus 10 min rest, with 3 repetitions), three times a week, arranged by professional physical education (PE) teachers in groups.",Randomised controlled trial
"Lastly, this study will involve performing exercise assessments at several time points, however will not examine the effects of an exercise intervention or programme (eg, 4 weeks of high-intensity training).",Cohort study
"At the end of the 4-week intervention period, the participants will undergo the same baseline assessments, and their weight, body composition, and food-related behavior will then be reassessed after 3 and 6 months.",Randomised controlled trial
The sample frames for potential participants were assembled in every GP practice as per the inclusion criteria.,Cohort study
"The primary endpoint of this study is the diet quality of women during the preconception period, which will be evaluated using the C-HEI 2007 score at baseline, 2, 4- and 6-months following study enrolment.",Cohort study
All experimental protocols involving animals were approved by the Institutional Animal Care and Use Committee of Yangzhou University (approval number:151â?014).,"Animal research, In vivo studies"
"Significantly decreased peak blood glucose levels (Î) were detected for both extracts (cGLE: 21.8 Â± 3.2 mg dLâ?, p < 0.05; GFESFE:12.6 Â± 3.3 mg dLâ?, p < 0.01), when compared to the control group (39.5 Â± 4.9 mg dLâ?) (Figure 5B).",Non-randomised controlled trial
"Alternatively, the treatment effect for cholesterol synthesis may result from the significant weight gain in the glucose intervention group (+1.7âkg) which was not observed in the fructose intervention group (+0.2âkg) [19].",Randomised controlled trial
"To evaluate TG secretion in fasting and postprandial conditions and the size of lipoprotein in blood, mice were injected 10 min before the gavage with tyloxapol (Sigma-Aldrich, 500 mg/kg), an inhibitor of LPL.","Animal research, In vivo studies"
The satiety rating scale was used to measure the degree of satiety at different times of the day at the study endpoint for intervention and control groups.,Randomised controlled trial
"However, in our prospective cohort study, dietary intakes were assessed prior to DM diagnosis and thus the resulting measurement error is most likely independent of outcome (i.e., non-differential) and may have only attenuated the association.",Cohort study
Association between a body shape index and abdominal aortic calcification in general population: A cross-sectional study,Cross-sectional study
"12 healthy subjects were given flour based rye products made from endosperm, whole grain or bran, produced with different methods (baking, simulated sour-dough baking and boiling) as breakfasts in random order in a cross-over design.",Randomised controlled trial
Plasma glucose levels reached peak values 30 min after oral glucose gavage in the control group and both experimental groups.,"Animal research, In vivo studies"
"In this last study, a significant association of PON1 activity changes and LDL-c depletion was also observed; however, no significant relationships were found in the present experimental trial.",Randomised controlled trial
"To assess the anti-hyperlipdiemic effect of BBR, we enrolled 83 hyperlipidemic patients and treated them with BBR (42 patients) or placebo (41 patients) for three months (demographic and baseline characteristics in Table S1).",Randomised controlled trial
"Fasting insulin was measured by enzyme-linked immunosorbent assay, with two in-house quality control standards.","In vitro research, Laboratory research"
This meta-analysis confirms that low-carbohydrate diets have a beneficial effect on cardiovascular risk factors but that the long-term effects on cardiovascular risk factors require further research.,Meta-analysis
A cross-sectional study of 900 urban South Indians from Chennai demonstrated that individuals with known T2D had significantly higher protein intake (15.9%) than controls (14%) [63].,Cross-sectional study
"To investigate in depth other factors that could have affected the dairy performance of cow uncertainty, four universally used KPIs in reproduction (days at first breeding, the percentage of pregnant cows at 150 DIM, and the frequencies of pregnancy loss <90 or â?0 days of pregnancy) and the incidences of six common diseases (the frequencies of ketosis, metritis, retained placenta, clinical mastitis, lameness, and enteritis) were compared between cows in the intervention and control groups.",Randomised controlled trial
"Carriers of the PPARG minor G allele, compared with those carrying CC genotype, showed increased levels of LDL-C among control group, but not among the omega-3 intervention group.",Cohort study
"Additionally, bands that were found to be changed after intervention periods were identified by sequencing the corresponding V6-V8 regions using primers U968 and U1401 and PCR conditions given above.",Randomised controlled trial
"Local C3 activation can induce endothelial dysfunction (12, 40), but C3 may also be produced by endothelial cells, at least in vitro (41, 42).","In vitro research, Laboratory research"
"This finding might be important for in vitro studies in which tissue is typically cultured at 37Â°C (Bennett et al., 2017; Robinson et al., 2018).","In vitro research, Laboratory research"
"After revising the IRC of every subject and their medical records, we have revealed 50 individuals with incomplete data and/or mistakenly missed comorbidities as exclusion criteria, such as coronary heart disease (CHD), thyroid disorders, and neoplasms.",Cohort study
The UK Medical Research Council (MRC) framework for the development and evaluation of complex interventions for randomized control trials (RCT) is used as a theoretical guide to designing the intervention [6].,Randomised controlled trial
"The third group was similarly administered lovstatin (50 mg/kg, positive control group).",Randomised controlled trial
"Replication cohort, cohort 2: the study participants were recruited to evaluate the role of intestinal microflora in non-alcoholic fatty liver disease.",Cohort study
The VCO group experienced a decrease in TG at 9.23 mg/dL while the control group experienced an increase in TC at 7.62 mg/dL (Figure 1).,Non-randomised controlled trial
"In accordance with the recommended best practice guidelines [26], the subjects lay down in comfortable beds in a quiet special study room.","Narrative review, Expert opinion, Editorial, Ideas"
"No differences in age, sex, or BMI were detected between the intervention groups at baseline (Additional file 2: Table S1).",Randomised controlled trial
"0.54 Â± 0.23, p = 0.206 (Cohenâs d 0.540)], neither significant differences in cardiopulmonary parameters after the intervention period.",Randomised controlled trial
"With a 97% similarity as the cutoff value, 8409 classification units were identified, of which an average of 99.10âÂ±â?.40 were derived from obesity group and an average of 109.58âÂ±â?.80 were derived from control group (Pâ?â?.05).",Cohort study
"The DASH diet index goes back to a successful intervention study that reduced hypertension [15,16].",Randomised controlled trial
"According to the Ï2 test, there was a statistically significant difference between the CRD group and the control group in the proportion of abnormal LDLC in the second trimester (Table 5).",Randomised controlled trial
"(7), with each included trial evaluated according to randomization, double blinding, withdrawals, and dropouts.",Randomised controlled trial
"In this study, the TC/HDL ratio of the Gen-CF-treated group was significantly lower than that of the control group in the high cholesterol diet model.",Non-randomised controlled trial
"In glyphosate and Roundup treated males, an approximate 2-fold increase of mean urinary concentration of glyphosate in the 13-week cohort (animals exposed prenatally until 125âÂ±â? days after birth) compared to the 6-week cohort (animals exposed prenatally until 73âÂ±â? days after birth) was observed.",Cohort study
All procedures were performed in accordance with current National Institutes of Health guidelines and approved by the University Animal Care and Use Committees.,"Animal research, In vivo studies"
"Moreover, dietary fibre supplementation was unable to increase microbiota diversity in both groups (Table 2), which has been observed in a similar way by other human intervention studies with non-digestible carbohydrate diet enrichment [31].",Randomised controlled trial
The caloric intake was calculated based on the Chinese food chart and food categories recommended by Dietary Guidelines for Chinese Residents (2016) were selected [22].,Cohort study
"One clue may come from an epidemiological study in the Framingham Offspring Cohort, where longer LTL was associated with increased aldosteroneâtoârenin ratio, indicative of aldosterone hypersecretion (Vasan et al., 2009).",Cohort study
Comparison of the selected gene targets was assessed in the microarrayed samples and also in response to the other diet interventions using a custom designed RT Profiler PCR Array of cecum and Taqman assays of cecum and liver.,"In vitro research, Laboratory research"
"Exclusion criteria were uncontrolled hypertension, diabetes mellitus, coronary artery or cardiac disease, chest disease, smoking, contraindications to carboxytherapy (i.e.",Randomised controlled trial
Exclusion criteria:,Randomised controlled trial
"Participants with a T-score of more than â?.0 were the healthy control group (Ctrl, n = 22).",Cohort study
"However, urinary sodium excretion indicates that sodium intake on the placebo condition was closer to habitual (ie 3400 mg/day) sodium intake among Americans.",Randomised controlled trial
All the animal experiments were performed in accordance with the National Institutes of Health regulations for the care and use of animals in research.,"Animal research, In vivo studies"
"To investigate the effect of an antenatal diet and lifestyle intervention, and maternal pre-pregnancy overweight or obesity, on infant cord blood DNA methylation.",Cohort study
"However, only three studies concurrently assessed A1C, fasting insulin, and FPG values, with an intervention period of, at most, 6 weeks.",Randomised controlled trial
Clinical measures were obtained from plasma samples for the described cohort of baboons at the baseline (chow diet) and at the end of the 2-year HFHC diet challenge.,Cohort study
"Representativeness of the Walloon region in Belgium was obtained in terms of gender, age crossed with gender, level of education crossed with gender, province, population density and (un) employment in 2016 based on information provided by the Walloon government by quota sampling.",Cross-sectional study
All participants gave their written informed consent before entering the study.,Randomised controlled trial
"Specific pathogen-free (SPF) C57BL/6J male mice (Janvier Labs, Le Genest St Isle, France) were housed in a controlled environment (three per cage, 12âhours daylight cycle) with free access to food and water.","Animal research, In vivo studies"
Creatinine levels were significantly higher in the CKD group than in the control group.,Cohort study
Future analysis of peroxisomal function biomarkers in human cases or mouse models with MSUD would shed light on the potential influence of BCAA on peroxisomal lipid metabolism.,"Animal research, In vivo studies"
"Specifically, children were randomly reallocated between the case and control groups 1000 times.",Case-control study
The 2020â?025 Dietary Guidelines for Americans list choline as an under-consumed nutrient in the American diet [71].,"Narrative review, Expert opinion, Editorial, Ideas"
"Sample size for the study was computed to detect minimum of 5% additional reduction in intervention as compared to the control arm with the following assumptions: level of significance 5%; power 90%, loss to follow up 10%.",Randomised controlled trial
"The microbiome was sampled 3 times during this study via rectal swabs: prior to beginning experimental diets (day 0, aged 4âweeks), after 1 week of consuming assigned diets (day 7, the study midpoint, aged 5âweeks), and after 2 weeks of dietary intervention (day 14, end of study, aged 6âweeks) (Fig.",Cohort study
"This method of calculating gene expression was preferred over normalization to a housekeeping gene, because such genes are not constant under the broad range developmental and nutritional conditions of our experimental protocols.","In vitro research, Laboratory research"
"No CpG sites were significantly differentially methylated in relation to either the diet and lifestyle intervention, or with maternal early pregnancy BMI.",Cohort study
"Within the meta-analysis of published studies, the OR was 1.12 (1.04â?.21) in the 14 larger studies (those with variance of log OR<0.05; total 13,119 cases) and 1.18 (1.09â?.28) in the 72 smaller ones (total 15,498 cases).",Meta-analysis
Findings from this feeding trial disagree with reports of Al-sultan (2003) and Durrani et al.,Randomised controlled trial
"Our large, population-based, cohort study shows that increased RBP4 serum levels are strongly associated with the presence and the number of components of MS in an 65â?âCaucasian population.",Cohort study
"Also, a significant inverse relation was observed between plasma soluble intercellular adhesion molecule-1 (sICAM-1) and lutein concentrations in a cross-sectional study in a general population sample26.",Cross-sectional study
"In order to make the employed cows in the intervention and control groups comparable, we comprehensively analyzed the parity, age, lactation number, weight, and the available records of daily milk yield (n = 8,663), SCS (n = 185), and composition [fat (n = 140), protein (n = 134), and lactose (n = 133)] of each cow.",Randomised controlled trial
"It was shown that RBP4 expression was aberrantly elevated in non-alcoholic fatty liver disease (NAFLD) in middle-age human and animal models, as well as positively associated with hepatic mitochondrial dysfunction combined with increased hepatic triglyceride accumulation [45, 46].","Animal research, In vivo studies"
The subjects were family members and neighbors of Vietnamese female marriage immigrants to Korea participated in Cohort of Intermarried Women in Korea.,Cohort study
Plasma insulin levels significantly increased over the 12-week diet and/or exercise intervention period in both male and female IF groups (p < 0.05) and female CON (p < 0.05) and IF + HIIT (p < 0.01) groups only (Figure 4A).,Randomised controlled trial
"In addition, while CD36 mRNA level decreased in control mice after the oil gavage it was not affected by the lipid load in MetS mice (Fig 4C).","Animal research, In vivo studies"
"Initially, 800 participants who met the inclusion criteria had been recruited into the study.",Randomised controlled trial
"Compared with the control group, the lipidomic pattern associated with LBMD was investigated through an orthogonal partial least squares discriminant analysis (OPLS-DA) score plot.",Non-randomised controlled trial
"Lean mass significantly increased over the 10-weeks diet and/or exercise intervention period in the CON group for both male and female mice (p < 0.05) and in the HIIT and IF + HIIT female groups only (p < 0.05) (Figure 2A,B).","Animal research, In vivo studies"
"Compared with those in the control group, the PEPCK, PFK and PC activities were significantly higher in the ATB group (p < 0.05).",Non-randomised controlled trial
"Here, the composition of gut microbiota in cecum of CHPD-fed rats was found to be different from that of CAD-fed rats after a short-term diet intervention.","Animal research, In vivo studies"
